pergunta;alternativa1;alternativa2;alternativa3;alternativa4;correta
"De acordo com o Manual D do RADA-e, como devem ser escriturados os bens móveis de consumo e de uso duradouro?";"De forma analítica, por meio de número patrimonial individualizado";"De forma sintética, por meio de fichas de controle manuais";"De forma analítica, por tipo de material e quantidade";"De forma sintética, por tipo de material e valor total";"De forma analítica, por tipo de material e quantidade"
"Em qual dos seguintes estoques NÃO se enquadra a escrituração de bens móveis de consumo e de uso duradouro, segundo o Manual D do RADA-e?";"Estoque Interno";"Estoque de Distribuição";"Estoque de Sobressalentes a Reparar";"Estoque de Material Bélico";"Estoque de Material Bélico"
"Quem é o responsável pela guarda e conservação dos bens móveis de consumo escriturados em estoque?";"Ordenador de Despesas";"Gestor de Bens Patrimoniais Móveis Permanentes";"Gestor Patrimonial de Bens Móveis de Consumo";"Chefe da Seção de Material";"Gestor Patrimonial de Bens Móveis de Consumo"
"No SILOMS, módulo BMP, o que é gerado para permitir a pronta identificação de um Bem Móvel Permanente?";"Nota de Empenho";"Ficha de Controle Patrimonial";"Etiqueta de Identificação";"Termo de Responsabilidade";"Etiqueta de Identificação"
"Qual documento comprova os bens móveis permanentes em uso na Unidade Gestora (UG)?";"Termo de Recebimento Provisório";"Relatório de Bens Patrimoniais";"Inventário Físico de Bens";"Termo de Responsabilidade Individual";"Termo de Responsabilidade Individual"
"Em qual sistema os bens móveis permanentes são escriturados analiticamente?";"SILOMS";"SIAFI";"SIGA";"SPIUnet";"SILOMS"
"De acordo com o Módulo 7 do Manual G do RADA-e, em qual grupo de contas contábeis os Bens Móveis Permanentes são escriturados no SIAFI?";"1.2.3.1.1.XX.YY – BENS MÓVEIS";"2.1.8.3.4.XX.YY – BENS IMÓVEIS";"3.2.7.5.6.XX.YY – BENS INTANGÍVEIS";"4.3.6.9.8.XX.YY – BENS DE CONSUMO";"1.2.3.1.1.XX.YY – BENS MÓVEIS"
"Qual agente é responsável pela consolidação dos registros sintéticos e analíticos dos Bens Móveis Permanentes?";"Gestor de Almoxarifado";"Ordenador de Despesas";"Gestor Patrimonial de Bens Móveis de Consumo";"Gestor Patrimonial de Bens Móveis Permanentes";"Gestor Patrimonial de Bens Móveis Permanentes"
"Segundo o Manual de Contabilidade Aplicada ao Setor Público, o que é depreciação?";"Aumento do valor de um bem ao longo do tempo";"Redução do valor de um bem pelo desgaste ou perda de utilidade";"Transferência de um bem de uma unidade gestora para outra";"Incorporação de um novo bem ao patrimônio";"Redução do valor de um bem pelo desgaste ou perda de utilidade"
"Qual dos fatores abaixo NÃO ocasiona a depreciação de um bem?";"Uso";"Ação da natureza";"Valorização de mercado";"Obsolescência";"Valorização de mercado"
"Qual a definição de Ativo Intangível, de acordo com o Módulo 7 do Manual G do RADA-e, que faz referência ao MCASP?";"Um recurso controlado pela entidade como resultado de eventos passados e do qual se espera que fluam futuros benefícios econômicos";"Um bem sem substância física, mas com valor econômico, passível de ser negociado no mercado";"Um bem que não pode ser removido sem destruição, alteração ou perda de sua forma, ou substância";"Um bem que, em razão de seu uso corrente, não perde a identidade física, e/ou tem uma durabilidade superior a dois anos";"Um recurso controlado pela entidade como resultado de eventos passados e do qual se espera que fluam futuros benefícios econômicos"
"Qual dos itens abaixo NÃO se enquadra na definição de Bens Intangíveis?";"Softwares";"Licenças";"Veículos";"Patentes";"Veículos"
"Em qual conta contábil do SIAFI são escriturados os Bens Intangíveis?";"1.2.3.1.2.XX.YY - BENS INTANGÍVEIS";"2.1.4.3.5.XX.YY - BENS IMÓVEIS";"3.5.7.9.8.XX.YY - BENS MÓVEIS";"4.1.3.2.7.XX.YY - BENS DE CONSUMO";"1.2.3.1.2.XX.YY - BENS INTANGÍVEIS"
"O que é a amortização de um Bem Intangível?";"Aumento do valor de um bem ao longo do tempo";"Redução do valor de um bem ao longo do tempo";"Transferência de um bem de uma unidade gestora para outra";"Incorporação de um novo bem ao patrimônio";"Redução do valor de um bem ao longo do tempo"
"Qual norma regulamenta a amortização de Bens Intangíveis no Brasil?";"NBC TSP 07 - Ativo Imobilizado";"NBC TSP 08 - Ativo Intangível";"NBC TSP 09 - Estoques";"NBC TSP 10 - Investimentos";"NBC TSP 08 - Ativo Intangível"
"O que é a amortização de um bem intangível?";"Aumento do valor do bem ao longo do tempo";"Redução do valor do bem ao longo do tempo, devido ao seu desgaste";"Redução do valor do bem ao longo do tempo, representando a transferência de seu valor para o resultado da entidade";"Aumento do valor do bem ao longo do tempo, devido à sua valorização no mercado";"Redução do valor do bem ao longo do tempo, representando a transferência de seu valor para o resultado da entidade"
"Qual o objetivo da amortização de bens intangíveis?";"Corrigir o valor do bem para refletir sua depreciação física";"Ajustar o valor do bem para seu valor justo de mercado";"Registrar a perda de valor do bem devido à obsolescência";"Reconhecer o custo do bem como despesa ao longo de sua vida útil";"Reconhecer o custo do bem como despesa ao longo de sua vida útil"
"Como é determinada a vida útil de um bem intangível para fins de amortização?";"Tempo em que o bem se mantém em condições de uso";"Prazo de validade da licença de uso do bem";"Período em que se espera que o bem gere benefícios econômicos para a entidade";"Data de aquisição do bem";"Período em que se espera que o bem gere benefícios econômicos para a entidade"
"Qual método de amortização NÃO é aceito pelas normas brasileiras de contabilidade?";"Método linear";"Método da soma dos dígitos dos anos";"Método das quotas constantes";"Método da unidade produzida";"Método da unidade produzida"
"Em qual sistema os valores da amortização de bens intangíveis são registrados no COMAER?";"SILOMS";"SIAFI";"SIGA";"SPIUnet";"SIAFI"
