pergunta;alternativa1;alternativa2;alternativa3;alternativa4;correta
O que engloba a Comunicação Organizacional, de acordo com Bueno (2009)?;Todas as formas de comunicação dentro de uma organização, bem como a comunicação com seus públicos externos.;Apenas a comunicação entre os funcionários de uma empresa.;Somente a comunicação oficial de uma instituição com a mídia.;Exclusivamente as estratégias de marketing para promover produtos e serviços.;Todas as formas de comunicação dentro de uma organização, bem como a comunicação com seus públicos externos.
Qual a importância da Comunicação Interna para uma organização?;Promover a imagem da instituição para o público externo.;Divulgar produtos e serviços para aumentar as vendas.;Alinhar objetivos, promover a coesão e motivar a equipe de trabalho.;Gerenciar crises e proteger a reputação da organização.;Alinhar objetivos, promover a coesão e motivar a equipe de trabalho.
Assinale a alternativa que NÃO apresenta um exemplo de ferramenta de Comunicação Interna:;Plataformas online para comunicação entre funcionários.;Campanhas publicitárias em redes sociais.;Reuniões informativas sobre metas da organização.;Boletins informativos sobre a empresa.;Campanhas publicitárias em redes sociais.
A Comunicação Externa se direciona a qual público?;Apenas aos funcionários de uma instituição.;Somente aos órgãos governamentais e instituições públicas.;Exclusivamente para os concorrentes de uma empresa.;Clientes, fornecedores, parceiros, investidores e a sociedade em geral.;Clientes, fornecedores, parceiros, investidores e a sociedade em geral.
Qual das alternativas abaixo representa um desafio da Comunicação Organizacional?;Lidar com a rápida obsolescência de tecnologias de comunicação.;Garantir que a mensagem seja compreendida por diferentes públicos.;Manter a equipe interna engajada com os objetivos da empresa.;Todas as alternativas anteriores.;Todas as alternativas anteriores.
De que forma a Comunicação Organizacional contribui para a tomada de decisões eficazes?;Fornecendo informações claras, precisas e relevantes para os líderes.;Eliminando a necessidade de tomar decisões estratégicas.;Centralizando as decisões nas mãos da diretoria da empresa.;Deixando a cargo de cada funcionário tomar as decisões.;Fornecendo informações claras, precisas e relevantes para os líderes.
Como a Comunicação Organizacional pode ser utilizada para fortalecer a imagem de uma organização?;Adotando um discurso evasivo em relação a crises.;Controlando as informações que chegam ao público.;Transmitindo mensagens e valores de forma consistente em todos os seus canais de comunicação.;Ignorando as críticas e focando apenas nos elogios.;Transmitindo mensagens e valores de forma consistente em todos os seus canais de comunicação.
Qual a relação entre a Comunicação Organizacional e o uso de novas tecnologias?;As novas tecnologias tornaram a comunicação mais complexa e desafiadora.;A Comunicação Organizacional eficaz exige o uso de todas as novas tecnologias disponíveis.;As novas tecnologias são dispensáveis para uma Comunicação Organizacional de sucesso.;É preciso adaptar as estratégias de comunicação e utilizar novas ferramentas digitais de forma inteligente.;É preciso adaptar as estratégias de comunicação e utilizar novas ferramentas digitais de forma inteligente.
O que significa "Gestão de Crises" no contexto da Comunicação Organizacional?;Evitar que qualquer crise afete a imagem da instituição.;Culpar a concorrência por problemas e erros da empresa.;Ter estratégias e ações planejadas para lidar com situações que possam comprometer a reputação da organização.;Contratar uma equipe especializada em apagar informações negativas da internet.;Ter estratégias e ações planejadas para lidar com situações que possam comprometer a reputação da organização.
Qual das alternativas abaixo NÃO contribui para uma Comunicação Organizacional eficiente e transparente?;Incentivar o diálogo aberto entre gestores e funcionários.;Manter os colaboradores informados sobre as decisões da empresa.;Esconder dos funcionários informações importantes sobre a organização.;Utilizar diferentes canais de comunicação para atingir diversos públicos.;Esconder dos funcionários informações importantes sobre a organização.
Qual a principal finalidade da rede de informações da FAB?;Promover a imagem da FAB internacionalmente.;Divulgar orientações e informações relevantes para os militares e o público em geral.;Servir como plataforma de entretenimento para os militares.;Facilitar a comunicação entre familiares dos militares.;Divulgar orientações e informações relevantes para os militares e o público em geral.
Qual ferramenta é considerada fundamental para a comunicação interna da FAB, funcionando como um canal central de informações organizacionais?;A rede interna (Intranet ou Intraer).;O website da FAB (www.fab.mil.br).;As redes sociais da FAB.;Cartas e comunicados impressos.;A rede interna (Intranet ou Intraer).
A página da FAB na internet (www.fab.mil.br) tem como objetivo:;Divulgar apenas informações confidenciais para militares.;Ser um canal de comunicação exclusivo para a imprensa.;Fornecer informações e diretrizes da FAB para o público em geral, incluindo aqueles que desejam seguir carreira militar.;Promover a venda de produtos da FAB, como miniaturas de aeronaves.;Fornecer informações e diretrizes da FAB para o público em geral, incluindo aqueles que desejam seguir carreira militar.
No contexto da comunicação institucional da FAB, qual o papel das revistas NOTAER e AEROVISÃO?;Promover a imagem da FAB no exterior.;Servir como manuais técnicos para os militares.;Aproximar o público das realizações institucionais da FAB.;Anunciar os novos equipamentos e tecnologias da FAB.;Aproximar o público das realizações institucionais da FAB.
Segundo o texto, a comunicação institucional da FAB busca:;Limitar o acesso à informação apenas para o público interno.;Centralizar as decisões estratégicas da organização.;Estabelecer uma interação eficiente com os diversos níveis funcionais da organização para alcançar a excelência profissional.;Isolar os militares do contato com o público externo.;Estabelecer uma interação eficiente com os diversos níveis funcionais da organização para alcançar a excelência profissional.
