"pergunta";"alternativa1";"alternativa2";"alternativa3";"alternativa4";"correta"
"O que caracteriza o erro de 'Cristalização de Julgamento'?"; "O avaliador considera apenas o desempenho recente do avaliado, ignorando seu histórico."; "O avaliador se baseia em impressões antigas sobre o avaliado, sem considerar seu desempenho atual."; "O avaliador é muito rigoroso na avaliação, atribuindo notas baixas mesmo para bom desempenho."; "O avaliador tende a ser complacente, atribuindo notas altas para evitar conflitos."; "O avaliador se baseia em impressões antigas sobre o avaliado, sem considerar seu desempenho atual."
"No erro de 'Halo', qual é o problema central na avaliação? "; "O avaliador usa a mesma nota para todos os fatores de desempenho, sem analisar cada um individualmente."; "O avaliador forma uma impressão geral, positiva ou negativa, que influencia a avaliação de todos os fatores."; "O avaliador considera apenas os eventos mais recentes, ignorando o desempenho ao longo de todo o período."; "O avaliador não leva em conta as justificativas do avaliado para seu desempenho."; "O avaliador forma uma impressão geral, positiva ou negativa, que influencia a avaliação de todos os fatores."
"O que define os erros de 'Leniência' e 'Severidade'?"; "O avaliador se concentra em apenas um fator de desempenho, ignorando os demais."; "O avaliador confunde fatores de desempenho, atribuindo notas erradas."; "O avaliador tende a ser excessivamente complacente ou rigoroso, distorcendo a avaliação do desempenho real."; "O avaliador não registra as informações sobre o desempenho do avaliado ao longo do período."; "O avaliador tende a ser excessivamente complacente ou rigoroso, distorcendo a avaliação do desempenho real."
"Como se manifesta o erro de 'Lógico' na avaliação de desempenho? "; "O avaliador considera apenas os aspectos negativos, ignorando os positivos."; "O avaliador se deixa influenciar pela opinião de outros avaliadores."; "O avaliador presume que certos aspectos do desempenho estão relacionados, mesmo sem evidências."; "O avaliador é inconsistente em seus critérios de avaliação, mudando-os ao longo do processo."; "O avaliador presume que certos aspectos do desempenho estão relacionados, mesmo sem evidências."
"O que caracteriza o erro de 'Recência'?"; "O avaliador tem dificuldade em se lembrar do desempenho do avaliado."; "O avaliador atribui mais importância aos eventos recentes, negligenciando o desempenho ao longo de todo o período."; "O avaliador compara o desempenho do avaliado com o de outros colegas."; "O avaliador não considera as metas e objetivos estabelecidos para o avaliado."; "O avaliador atribui mais importância aos eventos recentes, negligenciando o desempenho ao longo de todo o período."
"Qual a principal característica do erro de 'Tendência Central'?"; "O avaliador se baseia apenas em suas impressões pessoais."; "O avaliador evita usar notas extremas, concentrando as avaliações no centro da escala."; "O avaliador se deixa levar por preconceitos e favoritismos."; "O avaliador não realiza o acompanhamento adequado do desempenho do avaliado."; "O avaliador evita usar notas extremas, concentrando as avaliações no centro da escala."
"O erro de 'Restrição de Amplitude' está relacionado à 'Tendência Central'. Qual a diferença entre eles?"; "A 'Restrição de Amplitude' ocorre quando o avaliador não conhece bem os critérios de avaliação."; "A 'Tendência Central' leva à 'Restrição de Amplitude', mas a 'Restrição de Amplitude' pode ocorrer sem 'Tendência Central'."; "A 'Tendência Central' é mais grave que a 'Restrição de Amplitude', pois distorce totalmente a avaliação."; "A 'Restrição de Amplitude' é mais comum em avaliações de grupos grandes de pessoas."; "A 'Tendência Central' leva à 'Restrição de Amplitude', mas a 'Restrição de Amplitude' pode ocorrer sem 'Tendência Central'."
"Em quais casos o erro de 'Restrição de Amplitude' pode indicar 'Leniência' na avaliação?"; "Quando as notas se concentram em torno da média da escala."; "Quando as notas se concentram nos extremos positivos da escala."; "Quando as notas se concentram nos extremos negativos da escala."; "Quando o avaliador utiliza apenas notas inteiras, sem usar frações."; "Quando as notas se concentram nos extremos positivos da escala."
"Qual é a consequência da 'Restrição de Amplitude' para a avaliação de desempenho? "; "Torna a avaliação mais justa, pois todos são avaliados com o mesmo rigor."; "Facilita o trabalho do avaliador, pois reduz a necessidade de justificativas."; "Permite identificar com precisão os funcionários com melhor desempenho."; "Dificulta a diferenciação entre os avaliados, prejudicando a identificação dos que realmente se destacam."; "Dificulta a diferenciação entre os avaliados, prejudicando a identificação dos que realmente se destacam."
"Como os erros de avaliação podem ser evitados?"; "Ignorando as dificuldades do processo de avaliação."; "Confiando na intuição e na experiência do avaliador."; "Utilizando apenas métodos de avaliação quantitativos."; "Conhecendo os erros mais comuns, realizando o acompanhamento constante do avaliado e buscando ser objetivo e imparcial."; "Conhecendo os erros mais comuns, realizando o acompanhamento constante do avaliado e buscando ser objetivo e imparcial."
