pergunta;alternativa1;alternativa2;alternativa3;alternativa4;correta
"Qual foi o principal objetivo do Manifesto Ágil?";"Definir um conjunto rígido de regras para desenvolvimento de software";"Criar uma metodologia única e universal para todos os projetos";"Oferecer um guia para equipes ágeis, focando na entrega de valor";"Promover a documentação abrangente em detrimento de software funcional";"Oferecer um guia para equipes ágeis, focando na entrega de valor"
"Qual dos seguintes NÃO é um valor do Manifesto Ágil?";"Indivíduos e interações acima de processos e ferramentas";"Software em funcionamento acima de documentação abrangente";"Colaboração com o cliente acima da negociação de contratos";"Adaptabilidade acima de seguir um plano";"Adaptabilidade acima de seguir um plano"
"Quantos princípios o Manifesto Ágil possui?";"4";"8";"12";"16";"12"
"Qual princípio valoriza a entrega frequente de software funcional?";"Flexibilidade";"Comunicação";"Funcionalidade";"Simplicidade";"Funcionalidade"
"O que o Manifesto Ágil prioriza em relação ao planejamento?";"Seguir o plano à risca, sem alterações";"Adaptar-se às mudanças de requisitos, mesmo em fases avançadas";"Criar planos detalhados e abrangentes para evitar qualquer imprevisto";"Evitar a comunicação com o cliente durante o processo de desenvolvimento";"Adaptar-se às mudanças de requisitos, mesmo em fases avançadas" 
"Qual é a principal característica da metodologia Waterfall?";"Ciclos iterativos e incrementais";"Ênfase na colaboração constante com o cliente";"Sequência linear e rígida de fases";"Flexibilidade para mudanças durante qualquer fase";"Sequência linear e rígida de fases"
"No Waterfall, o que acontece quando uma fase é concluída?";"A equipe pode voltar a qualquer fase anterior livremente";"A equipe avança para a próxima fase, sem possibilidade de retorno";"O cliente valida a fase e decide se a equipe pode prosseguir";"A equipe reavalia os requisitos e ajusta o escopo do projeto";"A equipe avança para a próxima fase, sem possibilidade de retorno"
"Qual das alternativas NÃO é uma vantagem da metodologia Waterfall?";"Planejamento detalhado e antecipado";"Facilidade de gestão e organização das atividades";"Adaptabilidade a mudanças nos requisitos";"Previsibilidade de prazos e custos";"Adaptabilidade a mudanças nos requisitos"
"Em quais tipos de projetos a metodologia Waterfall se mostra MAIS adequada?";"Projetos com requisitos complexos e em constante mudança";"Projetos de curta duração com entregas rápidas e frequentes";"Projetos com requisitos bem definidos e estáveis";"Projetos que exigem alta interação e feedback contínuo do cliente";"Projetos com requisitos bem definidos e estáveis"
"A Waterfall  é considerada uma metodologia tradicional e, por vezes, criticada. Qual é a principal crítica direcionada a ela?";"Pouca ênfase na documentação do projeto";"Excesso de flexibilidade e adaptabilidade";"Rigidez na execução e dificuldade em incorporar mudanças";"Falta de organização e controle sobre o cronograma";"Rigidez na execução e dificuldade em incorporar mudanças"
"O que caracteriza a metodologia Scrum?";"Ênfase na documentação abrangente e planos detalhados."; "Gerenciamento tradicional com fases sequenciais e rígidas."; "Abordagem iterativa e incremental com foco em colaboração e flexibilidade."; "Utilização exclusiva para projetos de desenvolvimento de software."; "Abordagem iterativa e incremental com foco em colaboração e flexibilidade."
"Qual é o principal objetivo do Scrum?";"Criar um processo de desenvolvimento rápido e eficiente, mesmo que às custas da qualidade."; "Dividir o projeto em fases sequenciais, com pouca interação entre as equipes."; "Entregar o produto final somente após a conclusão de todas as etapas."; "Identificar oportunidades, desenvolver soluções e agregar valor em um curto espaço de tempo."; "Identificar oportunidades, desenvolver soluções e agregar valor em um curto espaço de tempo."
"Qual das alternativas NÃO representa um dos pilares do Scrum?";"Autogerenciamento"; "Rigidez"; "Foco no essencial"; "Transparência";"Rigidez" 
"Como o Scrum lida com as mudanças de requisitos durante o desenvolvimento de um projeto?"; "As mudanças são geralmente evitadas, priorizando o plano inicial."; "As mudanças são incorporadas após a conclusão do projeto."; "As mudanças são bem-vindas e podem ser adaptadas em iterações."; "As mudanças são negociadas somente no início do projeto."; "As mudanças são bem-vindas e podem ser adaptadas em iterações."
"Qual a importância do feedback no Scrum?"; "O feedback é realizado apenas ao final do projeto."; "O feedback é desencorajado para evitar conflitos na equipe."; "O feedback é constante e essencial para o aprendizado e adaptação."; "O feedback é responsabilidade exclusiva do cliente."; "O feedback é constante e essencial para o aprendizado e adaptação."
"O PRINCE2  é um método de gestão de projetos que se baseia em quantos princípios, temas e processos?";"5";"6";"7";"8";"7"
"Qual a origem do nome PRINCE2 e o que significa?";"Process In Controlled Execution, Processos em Execução Controlada";"Projects In Controlled Environments, Projetos em Ambientes Controlados";"Process Initiated and Controlled for Enterprises, Processo Iniciado e Controlado para Empresas";"Projects In Continuously Monitored Environments, Projetos em Ambientes Continuamente Monitorados";"Projects In Controlled Environments, Projetos em Ambientes Controlados"
"Qual das alternativas abaixo NÃO representa um benefício do PRINCE2?";"Entrega de produtos dentro do prazo e orçamento";"Definição clara de papéis e responsabilidades";"Foco na flexibilidade e adaptação constante, mesmo com o projeto em andamento";"Gerenciamento por estágios e por exceção";"Foco na flexibilidade e adaptação constante, mesmo com o projeto em andamento"
"No contexto do PRINCE2, o que significa 'Gerenciar por Exceção'?";"Controlar o projeto em todos os seus detalhes, sem delegação de tarefas."; "Concentrar-se em identificar e analisar cada desvio do plano."; "Dar autonomia à equipe para tomar decisões sem consultar o gerente."; "Manter o plano original sem alterações, mesmo que surjam imprevistos."; "Concentrar-se em identificar e analisar cada desvio do plano."
"Qual é a ênfase do PRINCE2 em relação aos produtos do projeto?";"A documentação abrangente é o principal produto a ser entregue."; "Os produtos devem ser definidos no início e raramente sofrem alterações."; "O foco está na entrega de produtos que atendam às necessidades do cliente."; "A qualidade dos produtos é secundária em relação ao cumprimento do prazo e orçamento."; "O foco está na entrega de produtos que atendam às necessidades do cliente."
