"pergunta";"alternativa1";"alternativa2";"alternativa3";"alternativa4";"correta"
"Em que se baseiam as teorias de liderança fundamentadas nos relacionamentos entre líder e liderados?";"Nas características inatas de personalidade do líder, como carisma e inteligência.";"Na capacidade do líder de se adaptar a diferentes situações e contextos.";"Nas interações recíprocas entre líder e liderados, reconhecendo a influência mútua.";"No poder hierárquico do líder e em sua capacidade de controlar seus subordinados.";"Nas interações recíprocas entre líder e liderados, reconhecendo a influência mútua."
"Qual modelo de liderança explora a liderança como uma gama de possibilidades, desde uma postura de ausência de liderança até uma liderança transformadora?";"Modelo de Liderança Situacional.";"Modelo de Liderança Distribuída.";"Modelo de Liderança Full Range.";"Modelo de Liderança Adaptativa.";"Modelo de Liderança Full Range."
"Como é caracterizado o comportamento de liderança Laissez-Faire?";"Por uma postura de ausência de liderança, em que o líder abdica de suas responsabilidades.";"Pela troca de recompensas por desempenho, com foco em metas e objetivos.";"Pela inspiração e motivação dos liderados a buscarem seu pleno potencial.";"Pela capacidade de adaptação a diferentes situações e contextos.";"Por uma postura de ausência de liderança, em que o líder abdica de suas responsabilidades."
"Qual a consequência da liderança Laissez-Faire para o desempenho da equipe?";"Alto desempenho e alta satisfação dos membros da equipe.";"Desempenho mediano e baixo nível de conflitos.";"Baixo desempenho e alta insatisfação dos membros da equipe.";"Alto nível de inovação e criatividade, com foco em resultados.";"Baixo desempenho e alta insatisfação dos membros da equipe."
"Como se caracteriza a Liderança Transacional?";"Por uma relação de troca entre líder e liderados, envolvendo recompensas e punições.";"Pela ausência de intervenção do líder, deixando o grupo se autogerir.";"Pela inspiração e desenvolvimento dos liderados a buscarem seus próprios objetivos.";"Pela adaptação do estilo de liderança de acordo com o nível de maturidade dos liderados.";"Por uma relação de troca entre líder e liderados, envolvendo recompensas e punições."
"Em quais situações a Liderança Transacional pode ser utilizada?";"Para estimular a criatividade e a inovação na equipe.";"Para promover o crescimento e desenvolvimento dos liderados.";"Para corrigir comportamentos inadequados e garantir o cumprimento de tarefas.";"Para lidar com crises e situações complexas que exigem adaptação.";"Para corrigir comportamentos inadequados e garantir o cumprimento de tarefas."
"Qual o foco principal da Liderança Transformacional?";"No controle e na supervisão constante dos liderados para garantir o cumprimento das tarefas.";"Na punição de comportamentos inadequados e na recompensa por bom desempenho.";"No desenvolvimento da equipe a partir da inspiração, motivação e busca por significado no trabalho.";"Na delegação de tarefas e responsabilidades, permitindo que os liderados se autogerenciem.";"No desenvolvimento da equipe a partir da inspiração, motivação e busca por significado no trabalho."
"Quais os resultados esperados da aplicação da Liderança Transformacional?";"Cumprimento das tarefas e alcance das metas, dentro dos padrões esperados.";"Aumento da produtividade e redução de custos, com foco em resultados tangíveis.";"Desenvolvimento dos liderados e alcance de alto desempenho, além dos resultados esperados.";"Redução de conflitos e criação de um ambiente de trabalho harmonioso e sem desafios.";"Desenvolvimento dos liderados e alcance de alto desempenho, além dos resultados esperados."
"Qual a principal diferença entre Liderança Transacional e Transformacional?";"A Liderança Transacional é mais eficaz para alcançar resultados de curto prazo, enquanto a Transformacional foca no longo prazo.";"A Liderança Transacional se baseia na troca de recompensas, enquanto a Transformacional prioriza o desenvolvimento dos liderados.";"A Liderança Transacional é mais adequada para equipes experientes, enquanto a Transformacional é ideal para iniciantes.";"A Liderança Transacional é mais autocrática, enquanto a Transformacional é mais democrática e participativa.";"A Liderança Transacional se baseia na troca de recompensas, enquanto a Transformacional prioriza o desenvolvimento dos liderados."
"Por que é importante que um líder utilize o Modelo de Liderança Full Range?";"Para ter uma gama de opções de liderança e transitar entre elas de acordo com a situação e a necessidade da equipe.";"Para aplicar um único estilo de liderança de forma consistente, independentemente do contexto.";"Para evitar a necessidade de se adaptar às demandas da equipe e do ambiente de trabalho.";"Para se concentrar apenas nos resultados, sem se preocupar com o desenvolvimento dos liderados.";"Para ter uma gama de opções de liderança e transitar entre elas de acordo com a situação e a necessidade da equipe."
"Qual é a unidade de análise principal nas teorias de liderança com foco nos grupos?";"O líder e seus traços de personalidade.";"O contexto situacional e suas variáveis.";"O grupo e seus processos de interação.";"A relação individual entre líder e liderado.";"O grupo e seus processos de interação."
"Qual a principal característica da Liderança Distribuída proposta por Gronn (2000)?";"Centraliza a liderança em um único indivíduo com habilidades excepcionais.";"Prioriza a liderança autocrática com base na hierarquia e na autoridade.";"Compartilha a liderança entre os membros do grupo de forma dinâmica.";"Enfatiza a importância do carisma e da inspiração na figura do líder.";"Compartilha a liderança entre os membros do grupo de forma dinâmica."
"Na Liderança Distribuída, como se dá o exercício da influência dentro do grupo?";"Através da imposição de ideias e decisões por parte do líder.";"Por meio da competição entre os membros para assumir a liderança.";"De forma colaborativa e com alternância de papéis entre os indivíduos.";"Com base na experiência e no tempo de serviço de cada membro.";"De forma colaborativa e com alternância de papéis entre os indivíduos."
"Qual a relação da Liderança Distribuída com as práticas institucionalizadas?";"Promove a informalidade e a flexibilidade nas relações de trabalho.";"Incentiva a autonomia e a independência dos membros, sem necessidade de normas.";"Fortalece a hierarquia e a centralização das decisões no líder.";"Normatiza as estruturas organizacionais e os procedimentos de trabalho.";"Normatiza as estruturas organizacionais e os procedimentos de trabalho."
"O que caracteriza a Liderança Adaptativa?";"A capacidade do líder de se adaptar a diferentes estilos de liderança.";"A habilidade do grupo de se ajustar a novas realidades e desafios.";"A flexibilidade do líder em mudar suas decisões de acordo com as opiniões do grupo.";"A capacidade do líder de impor sua visão e seus valores ao grupo.";"A habilidade do grupo de se ajustar a novas realidades e desafios."
"Qual a principal fonte de inspiração para o conceito de Liderança Adaptativa?";"Teorias da administração clássica, como a de Fayol.";"Princípios da gestão científica de Taylor.";"Conceitos da medicina, biologia e teoria evolucionista de Darwin.";"Modelos de liderança transformacional e carismática.";"Conceitos da medicina, biologia e teoria evolucionista de Darwin."
"No que consiste o trabalho adaptativo?";"Na aplicação de técnicas e conhecimentos específicos para solucionar problemas técnicos.";"Na realização de tarefas repetitivas e rotineiras, sem necessidade de adaptação.";"Na capacidade de lidar com conflitos de valores e adaptar-se a novas normas.";"Na busca por recompensas e benefícios individuais em detrimento dos objetivos do grupo.";"Na capacidade de lidar com conflitos de valores e adaptar-se a novas normas."
"Qual é o papel do líder na perspectiva da Liderança Adaptativa?";"Controlar e direcionar as ações do grupo de forma centralizada.";"Evitar conflitos e manter a harmonia no grupo a todo custo.";"Mobilizar o grupo para enfrentar desafios e adaptar-se às mudanças.";"Priorizar as tarefas e metas, sem se preocupar com os valores do grupo.";"Mobilizar o grupo para enfrentar desafios e adaptar-se às mudanças."
"Por que a perspectiva de valores concorrentes é crucial para o sucesso do trabalho adaptativo?";"Pois gera competição e individualismo entre os membros do grupo.";"Porque impõe a visão e os valores do líder aos demais membros.";"Para evitar conflitos e garantir a uniformidade de pensamento no grupo.";"Para encontrar soluções que conciliem diferentes valores e necessidades do grupo e do contexto.";"Para encontrar soluções que conciliem diferentes valores e necessidades do grupo e do contexto."
"Qual a crítica principal direcionada às teorias de liderança centradas no grupo?";"A falta de foco na figura do líder e em suas características individuais.";"A dificuldade em aplicar esses conceitos na prática, especialmente em organizações tradicionais.";"A ênfase excessiva na harmonia e na coesão do grupo, negligenciando as individualidades.";"A pouca importância dada ao contexto situacional e às suas variáveis.";"A dificuldade em aplicar esses conceitos na prática, especialmente em organizações tradicionais."
