pergunta;alternativa1;alternativa2;alternativa3;alternativa4;correta
Por que a construção de um prédio residencial, mesmo com plantas prontas, é considerada um projeto e não um processo?;Porque a construtora pode optar por usar materiais diferentes a cada prédio.;Porque cada prédio é construído para um cliente diferente.;Porque cada obra apresenta características únicas, como o terreno e as licenças necessárias, exigindo planejamento específico.;Porque o processo de construção de um prédio é muito complexo.;Porque cada obra apresenta características únicas, como o terreno e as licenças necessárias, exigindo planejamento específico.
Segundo o Manual de Gestão de Projetos do TCU (2006), o que caracteriza um projeto?;A realização de atividades repetitivas dentro de um escopo definido.;A criação de um produto ou serviço que já existe no mercado.;A busca por estabelecer uma nova forma de produzir algo ou um novo serviço, com objetivos e responsabilidades claras.;A otimização de processos já existentes dentro de uma organização.;A busca por estabelecer uma nova forma de produzir algo ou um novo serviço, com objetivos e responsabilidades claras.
Qual a importância do "não escopo" na definição de um projeto?;Determinar o que será feito pela equipe do projeto em relação ao escopo principal.;Delimitar as atividades que não serão abordadas no projeto, evitando falsas expectativas.;Estabelecer os objetivos secundários do projeto.;Definir os recursos que não serão utilizados no projeto.;Delimitar as atividades que serão abordadas no projeto, evitando falsas expectativas.
O que significa dizer que um projeto tem um prazo delimitado?;Que o projeto não pode ser interrompido antes de atingir seus objetivos.;Que o projeto deve ter um tempo de duração predefinido.;Que o projeto precisa ter um início e um fim claramente definidos, o que auxilia no planejamento realista de suas etapas.;Que o projeto precisa ser concluído dentro do prazo estipulado, mesmo que haja necessidade de recursos adicionais.;Que o projeto precisa ter um início e um fim claramente definidos, o que auxilia no planejamento realista de suas etapas.
Além dos recursos financeiros, qual outro tipo de recurso é fundamental para o sucesso de um projeto, segundo o Manual do TCU (2006)?;Recursos tecnológicos de última geração.;Recursos materiais de alta qualidade.;Recursos humanos qualificados e adequados às atividades a serem desenvolvidas.;Recursos midiáticos para divulgação do projeto.;Recursos humanos qualificados e adequados às atividades a serem desenvolvidas.
De acordo com a MGP-SISP (Enap, 2014), qual das alternativas abaixo NÃO é uma característica de um projeto?;É um empreendimento planejado e orientado a resultados.;Possui um objetivo claro e definido.;É uma atividade rotineira e repetitiva dentro da organização.;Envolve uma ou múltiplas unidades da organização.;É uma atividade rotineira e repetitiva dentro da organização.
O que significa dizer que um projeto é um "empreendimento único", segundo Turner e Müller (Enap, 2014)?;Que o projeto utiliza uma metodologia inovadora e nunca antes testada.;Que o projeto é realizado apenas uma vez e nunca mais será repetido.;Que o projeto possui características específicas e se diferencia de outros projetos, mesmo que estes sejam semelhantes.;Que o projeto tem um único objetivo principal, não podendo ser desdobrado em outros projetos menores.;Que o projeto possui características específicas e se diferencia de outros projetos, mesmo que estes sejam semelhantes.
Segundo o PMI (2008), qual a principal razão pela qual os projetos são necessários?;Para evitar a rotina e o tédio dentro das organizações.;Para gerar novos produtos e serviços sem a necessidade de planejamento.;Para que as organizações possam se adaptar às constantes mudanças do ambiente em que estão inseridas.;Para substituir os processos existentes dentro das organizações.;Para que as organizações possam se adaptar às constantes mudanças do ambiente em que estão inseridas.
O que caracteriza a "singularidade" de um projeto?;A participação de pessoas de diferentes áreas de conhecimento.;A necessidade de gerenciamento constante para evitar falhas.;O fato de cada projeto ser único e não repetitivo, resultando em produtos ou serviços também únicos.;A capacidade de adaptação às mudanças que podem ocorrer durante sua execução.;O fato de cada projeto ser único e não repetitivo, resultando em produtos ou serviços também únicos.
Por que a "incerteza" é uma característica intrínseca aos projetos?;Porque os projetos dependem da aprovação de órgãos externos, o que pode gerar atrasos.;Porque a equipe do projeto pode não ter experiência prévia na área.;Porque, por mais que haja planejamento, sempre existe a possibilidade de surgirem imprevistos e situações inesperadas.;Porque os projetos são limitados em termos de tempo e recursos.;Porque, por mais que haja planejamento, sempre existe a possibilidade de surgirem imprevistos e situações inesperadas.
O que define o "ciclo de vida" de um projeto?;A duração total do projeto, desde o seu início até a sua conclusão.;A fase de planejamento do projeto, onde são definidas todas as suas etapas.;O conjunto de fases que um projeto percorre, desde a sua concepção até o seu encerramento.;O período em que o projeto está em andamento, com atividades sendo executadas.;O conjunto de fases que um projeto percorre, desde a sua concepção até o seu encerramento.
O que acontece durante a fase de "iniciação" de um projeto?;É definido o orçamento detalhado do projeto e a alocação de recursos financeiros.;É quando se identifica a necessidade do projeto e se coletam informações para determinar seus objetivos e viabilidade.;É o momento em que o projeto é apresentado aos stakeholders e a equipe é formalmente apresentada.;São realizados os primeiros testes para verificar a viabilidade do projeto.;É quando se identifica a necessidade do projeto e se coletam informações para determinar seus objetivos e viabilidade.
Qual a principal função da fase de "planejamento" de um projeto?;Estabelecer os indicadores de sucesso do projeto e os métodos de avaliação.;Definir a equipe do projeto e designar as responsabilidades individuais.;Detalhar as etapas de execução do projeto, definindo prazos, recursos e estratégias para atingir os objetivos.;Desenvolver o plano de comunicação do projeto e as estratégias de marketing.;Detalhar as etapas de execução do projeto, definindo prazos, recursos e estratégias para atingir os objetivos.
O que caracteriza a fase de "desenvolvimento" de um projeto?;É o momento em que o projeto é apresentado ao público e se inicia a fase de marketing.;É a fase em que são realizados os ajustes finais no projeto, antes da sua conclusão.;É quando o planejamento do projeto é colocado em prática e as atividades são executadas e controladas.;É a fase de elaboração dos relatórios e documentos finais do projeto.;É quando o planejamento do projeto é colocado em prática e as atividades são executadas e controladas.
O que acontece na fase de "encerramento" de um projeto?;A equipe do projeto é dispensada e os recursos são realocados para outros projetos.;O projeto é revisado para identificar erros e falhas que podem ser corrigidas.;É o momento em que se verifica se os objetivos foram atingidos, os resultados são documentados e o projeto é finalizado formalmente.;É elaborada a prestação de contas do projeto e os recursos financeiros são liberados.;É o momento em que se verifica se os objetivos foram atingidos, os resultados são documentados e o projeto é finalizado formalmente.
O que significa dizer que um projeto é "interdisciplinar"?;Que o projeto exige a participação de profissionais de diversas áreas de conhecimento, cada um com sua especialidade.;Que o projeto é desenvolvido em parceria com outras organizações, cada uma com seus próprios objetivos.;Que o projeto é dividido em diferentes áreas de atuação, cada uma com sua própria equipe.;Que o projeto aborda diferentes disciplinas acadêmicas de forma integrada.;Que o projeto exige a participação de profissionais de diversas áreas de conhecimento, cada um com sua especialidade.
Quem são os "stakeholders" de um projeto?;Apenas os patrocinadores e financiadores do projeto.;Somente os membros da equipe diretamente responsável pela execução do projeto.;Todas as pessoas ou organizações que possuem algum tipo de interesse no projeto, como clientes, usuários, patrocinadores e a equipe.;Apenas os usuários finais do produto ou serviço que será gerado pelo projeto.;Todas as pessoas ou organizações que possuem algum tipo de interesse no projeto, como clientes, usuários, patrocinadores e a equipe.
Segundo o material de estudo, qual das alternativas abaixo NÃO é um fator que pode contribuir para o fracasso de um projeto?;Metas e objetivos inatingíveis ou pouco realistas.;Falta de conhecimento técnico da equipe para a realização das atividades.;Mudanças no ambiente externo que exigem adaptações no projeto.;Falta de comunicação clara e objetiva entre os membros da equipe e os stakeholders.;Mudanças no ambiente externo que exigem adaptações no projeto.
Qual das alternativas abaixo descreve um possível indicador de sucesso de um projeto?;Utilização de tecnologias inovadoras, mesmo que isso gere custos adicionais.;Conclusão do projeto dentro do prazo previsto, mesmo que a qualidade do produto final seja comprometida.;Entrega do produto ou serviço final com a qualidade esperada, atendendo às necessidades dos stakeholders, dentro do prazo e do orçamento previstos.;Alto grau de satisfação da equipe do projeto, mesmo que os objetivos iniciais não sejam totalmente atingidos.;Entrega do produto ou serviço final com a qualidade esperada, atendendo às necessidades dos stakeholders, dentro do prazo e do orçamento previstos.
O que é a "gestão de projetos"?;Um conjunto de técnicas e ferramentas utilizadas para controlar os custos de um projeto.;A arte de liderar equipes multidisciplinares para a realização de tarefas complexas.;A aplicação de conhecimentos, habilidades e técnicas para o planejamento, execução e controle de projetos, visando atingir seus objetivos de forma eficiente.;A capacidade de prever e gerenciar os riscos inerentes a um projeto.;A aplicação de conhecimentos, habilidades e técnicas para o planejamento, execução e controle de projetos, visando atingir seus objetivos de forma eficiente.
