pergunta;alternativa1;alternativa2;alternativa3;alternativa4;correta
"Qual é o objetivo principal da licitação, conforme o art. 37 da Constituição Federal?";"Garantir a seleção da proposta mais vantajosa para a Administração Pública";"Assegurar a igualdade de condições para todos os participantes da licitação";"Evitar o desperdício de recursos públicos";"Promover o desenvolvimento nacional sustentável";"Garantir a seleção da proposta mais vantajosa para a Administração Pública"
"O que pode ser licitado pela Administração Pública?";"Somente bens de alto valor";"Apenas serviços complexos";"Qualquer bem ou serviço, exceto nos casos específicos previstos em lei";"Somente obras de infraestrutura";"Qualquer bem ou serviço, exceto nos casos específicos previstos em lei"
"Em quais casos a licitação NÃO é obrigatória?";"Quando o valor da contratação é inferior a R$ 10.000,00";"Em casos de guerra ou calamidade pública";"Quando houver apenas um fornecedor capaz de fornecer o bem ou serviço";"Nas situações de dispensa ou inexigibilidade, previstas na Lei de Licitações e Contratos";"Nas situações de dispensa ou inexigibilidade, previstas na Lei de Licitações e Contratos"
"Quais são os princípios que regem a licitação?";"Legalidade, impessoalidade, moralidade, publicidade e eficiência";"Honestidade, transparência, economicidade e celeridade";"Justiça, equidade, razoabilidade e proporcionalidade";"Liberdade, igualdade, fraternidade e solidariedade";"Legalidade, impessoalidade, moralidade, publicidade e eficiência"
"Qual a modalidade de licitação utilizada para a venda de bens inservíveis ou legalmente apreendidos?";"Concorrência";"Tomada de Preços";"Convite";"Leilão";"Leilão"
"Qual princípio exige que os atos da Administração Pública e dos licitantes estejam em conformidade com as normas e leis vigentes?";"Princípio da Legalidade";"Princípio da Impessoalidade";"Princípio da Moralidade";"Princípio da Publicidade";"Princípio da Legalidade"
"O que o Princípio da Isonomia garante em uma licitação?";"Que todos os licitantes sejam tratados da mesma forma, sem privilégios ou discriminações";"Que a licitação seja conduzida de forma ética e transparente";"Que o objeto da licitação seja de interesse público";"Que o processo licitatório seja célere e eficiente";"Que todos os licitantes sejam tratados da mesma forma, sem privilégios ou discriminações"
"Qual princípio impede que o julgamento das propostas seja feito de forma subjetiva, com base em preferências pessoais?";"Princípio da Vinculação ao Instrumento Convocatório";"Princípio da Publicidade";"Princípio do Julgamento Objetivo";"Princípio da Moralidade";"Princípio do Julgamento Objetivo"
"Qual princípio garante que a sociedade tenha acesso aos atos e informações do processo licitatório?";"Princípio da Legalidade";"Princípio da Impessoalidade";"Princípio da Moralidade";"Princípio da Publicidade";"Princípio da Publicidade"
"O que o Princípio da Vinculação ao Instrumento Convocatório estabelece?";"Que a Administração Pública e os licitantes devem seguir rigorosamente o edital da licitação";"Que o objeto da licitação deve ser definido de forma clara e precisa";"Que o processo licitatório deve ser conduzido por servidores públicos capacitados";"Que o resultado da licitação deve ser publicado em Diário Oficial";"Que a Administração Pública e os licitantes devem seguir rigorosamente o edital da licitação"
"Qual modalidade de licitação é utilizada para a venda de bens imóveis ou de bens móveis inservíveis?";"Concorrência";"Leilão";"Diálogo Competitivo";"Pregão";"Leilão"
"Qual modalidade de licitação é obrigatória para a aquisição de bens e serviços comuns?";"Concurso";"Pregão";"Leilão";"Concorrência";"Pregão"
"Qual modalidade de licitação é utilizada para a contratação de obras, serviços e compras em que a Administração Pública realiza diálogos com licitantes previamente selecionados?";"Concorrência";"Pregão";"Concurso";"Diálogo Competitivo";"Diálogo Competitivo"
"Qual a modalidade de licitação utilizada para a escolha de trabalho técnico, científico ou artístico?";"Leilão";"Concurso";"Diálogo Competitivo";"Pregão";"Concurso"
"Em qual modalidade de licitação o critério de julgamento pode ser o maior retorno econômico?";"Diálogo Competitivo";"Pregão";"Concorrência";"Leilão";"Concorrência"
"Qual o prazo mínimo para apresentação de propostas em licitações para aquisição de bens, quando o critério de julgamento for menor preço ou maior desconto?";"5 dias úteis";"8 dias úteis";"10 dias úteis";"15 dias úteis";"8 dias úteis"
"Qual o prazo mínimo para apresentação de propostas em licitações para aquisição de bens, quando o critério de julgamento NÃO for menor preço ou maior desconto?";"8 dias úteis";"10 dias úteis";"15 dias úteis";"20 dias úteis";"15 dias úteis"
"Nas licitações para serviços e obras, qual o prazo mínimo para apresentação de propostas quando se trata de serviços comuns e obras e serviços comuns de engenharia, utilizando o critério de julgamento de menor preço ou maior desconto?";"8 dias úteis";"10 dias úteis";"15 dias úteis";"25 dias úteis";"10 dias úteis"
"Em licitações para serviços e obras, adotando o critério de julgamento de menor preço ou maior desconto, qual o prazo mínimo para apresentação de propostas quando se trata de serviços especiais e obras e serviços especiais de engenharia?";"15 dias úteis";"20 dias úteis";"25 dias úteis";"30 dias úteis";"25 dias úteis"
"A partir de quando o prazo para apresentação de propostas e lances começa a contar?";"Data da publicação do aviso de licitação";"Data da abertura da sessão pública";"Data da entrega do projeto básico";"Data de divulgação do edital de licitação";"Data de divulgação do edital de licitação"
