pergunta;alternativa1;alternativa2;alternativa3;alternativa4;correta
Por que a flexibilidade é importante na gestão de projetos?;Porque garante que o projeto será concluído dentro do prazo, mesmo com imprevistos.;Porque permite adicionar novas funcionalidades ao projeto sem aumentar o custo.;Porque, em um projeto, mudanças podem ocorrer e o gestor precisa estar preparado para lidar com elas de forma eficiente, adaptando o planejamento quando necessário.;Porque demonstra a capacidade do gestor de lidar com situações complexas e tomar decisões difíceis.;Porque, em um projeto, mudanças podem ocorrer e o gestor precisa estar preparado para lidar com elas de forma eficiente, adaptando o planejamento quando necessário.
O que representa a "divisão em fases" no ciclo de vida de um projeto?;Uma forma de tornar o projeto mais complexo e sofisticado.;Uma maneira de dividir o projeto em partes menores, definindo atividades, prazos e recursos específicos para cada fase, o que facilita o controle e a gestão do projeto como um todo.;Uma estratégia para atrasar o projeto e justificar a necessidade de mais recursos.;Uma forma de delegar responsabilidades e diminuir o trabalho do gerente de projetos.;Uma maneira de dividir o projeto em partes menores, definindo atividades, prazos e recursos específicos para cada fase, o que facilita o controle e a gestão do projeto como um todo.
Qual a vantagem de se definir um "marco" ao final de cada fase de um projeto?;Serve como um indicador de que a fase anterior foi concluída dentro do prazo e do orçamento previstos, além de indicar o início da próxima fase e permitir avaliar a continuidade do projeto.;Serve para delimitar o tempo de duração de cada fase, evitando atrasos no cronograma geral do projeto.;Serve para formalizar a entrega dos produtos ou serviços gerados em cada fase, mesmo que estes ainda não estejam finalizados.;Serve para justificar a necessidade de mais recursos para a próxima fase do projeto.;Serve como um indicador de que a fase anterior foi concluída dentro do prazo e do orçamento previstos, além de indicar o início da próxima fase e permitir avaliar a continuidade do projeto.
Como a gestão de processos se relaciona com a gestão de projetos?;A gestão de processos substitui a gestão de projetos em atividades complexas e inovadoras.;A gestão de processos e a gestão de projetos são complementares, e boas práticas de gestão de processos podem ser utilizadas dentro de um projeto, visando otimizar recursos e melhorar a eficiência.;A gestão de processos é utilizada apenas na fase de planejamento de um projeto, para definir as etapas de execução.;A gestão de projetos é uma evolução da gestão de processos, tornando-a obsoleta.;A gestão de processos e a gestão de projetos são complementares, e boas práticas de gestão de processos podem ser utilizadas dentro de um projeto, visando otimizar recursos e melhorar a eficiência.
Qual a importância da comunicação na gestão de projetos?;É essencial para manter a equipe motivada e evitar conflitos internos, mesmo que as informações compartilhadas não sejam relevantes para o andamento do projeto.;É fundamental para garantir que todos os stakeholders estejam informados sobre o andamento do projeto, facilitando a tomada de decisões e a gestão de expectativas.;É importante apenas para comunicar os resultados do projeto após a sua conclusão.;É dispensável em projetos simples, onde a equipe é pequena e todos possuem o mesmo nível de informação.;É fundamental para garantir que todos os stakeholders estejam informados sobre o andamento do projeto, facilitando a tomada de decisões e a gestão de expectativas.
Qual o papel do gerente de projetos na gestão de mudanças?;Resistir às mudanças propostas, garantindo que o projeto siga o planejamento inicial.;Avaliar o impacto das mudanças solicitadas, analisar a viabilidade de implementação e tomar decisões estratégicas, comunicando as decisões aos stakeholders.;Delegar a gestão de mudanças para a equipe técnica, focando em outras áreas do projeto.;Implementar todas as mudanças solicitadas pelos stakeholders, mesmo que isso afete o prazo e o orçamento do projeto.;Avaliar o impacto das mudanças solicitadas, analisar a viabilidade de implementação e tomar decisões estratégicas, comunicando as decisões aos stakeholders.
O que significa "gerenciar por exceção" na gestão de projetos?;Focar a atenção apenas nas situações críticas que fogem do planejado, tomando ações corretivas quando necessário.;Controlar rigidamente todas as etapas do projeto, mesmo as que estão dentro do previsto.;Evitar qualquer tipo de desvio no planejamento, mesmo que surjam novas oportunidades.;Manter o planejamento inicial do projeto inalterado, mesmo que o ambiente externo sofra mudanças significativas.;Focar a atenção apenas nas situações críticas que fogem do planejado, tomando ações corretivas quando necessário.
O que é um "produto" no contexto de gerenciamento de projetos, como citado na página 16?;Um bem físico produzido como resultado do projeto.;Pode ser um bem físico, um serviço, uma capacidade ou ainda uma combinação destes, que precisa ser claramente definido no escopo para evitar interpretações errôneas.;Um serviço prestado como resultado do projeto.;Uma combinação de bens e serviços gerados pelo projeto.;Pode ser um bem físico, um serviço, uma capacidade ou ainda uma combinação destes, que precisa ser claramente definido no escopo para evitar interpretações errôneas.
Por que é importante considerar o aspecto cultural no gerenciamento de projetos dentro de uma organização, como a FAB?;Porque cada organização possui suas próprias normas, valores e procedimentos, e a gestão de projetos deve se adaptar a essa cultura para ser bem-sucedida.;Porque a cultura organizacional define o orçamento disponível para cada projeto.;Porque a cultura da organização define os tipos de projetos que podem ser realizados.;Porque a cultura organizacional define o perfil dos stakeholders envolvidos no projeto.;Porque cada organização possui suas próprias normas, valores e procedimentos, e a gestão de projetos deve se adaptar a essa cultura para ser bem-sucedida.
No contexto da gestão de projetos, o que são as "lições aprendidas"?;Concursos e competições internas que premiam os projetos mais inovadores.;O conjunto de conhecimentos e experiências adquiridos ao longo do projeto, tanto positivas quanto negativas, que devem ser documentadas para servir de aprendizado para projetos futuros.;Cursos de capacitação oferecidos aos membros da equipe após a conclusão do projeto.;Um documento que lista os erros cometidos durante o projeto e os responsáveis por cada falha.;O conjunto de conhecimentos e experiências adquiridos ao longo do projeto, tanto positivas quanto negativas, que devem ser documentadas para servir de aprendizado para projetos futuros.
