"pergunta";"alternativa1";"alternativa2";"alternativa3";"alternativa4";"correta"
"Qual a relação entre cultura organizacional e mudança?"; "A cultura organizacional é imutável e impede a mudança."; "A cultura organizacional se adapta automaticamente a qualquer mudança."; "A cultura organizacional pode influenciar positiva ou negativamente a mudança."; "A cultura organizacional não possui relação com a mudança."; "A cultura organizacional pode influenciar positiva ou negativamente a mudança."
"O que é clima organizacional?"; "A temperatura física do ambiente de trabalho."; "A atmosfera psicológica que caracteriza a organização."; "O conjunto de normas e regulamentos da empresa."; "A relação da empresa com o meio ambiente."; "A atmosfera psicológica que caracteriza a organização."
"Qual a importância da capacidade inovadora em um processo de mudança?"; "A capacidade inovadora é irrelevante para a mudança."; "A capacidade inovadora garante o sucesso de qualquer mudança."; "A capacidade inovadora permite que a organização se adapte e responda às demandas da mudança."; "A capacidade inovadora atrasa o processo de mudança."; "A capacidade inovadora permite que a organização se adapte e responda às demandas da mudança."
"Qual a diferença entre líderes e gestores em um processo de mudança?"; "Líderes e gestores exercem o mesmo papel."; "Líderes inspiram e motivam, enquanto gestores se concentram na execução e gestão de recursos."; "Líderes são responsáveis pela estratégia, gestores pela operação."; "Líderes se preocupam com o futuro, gestores com o presente."; "Líderes inspiram e motivam, enquanto gestores se concentram na execução e gestão de recursos."
"Qual o principal desafio dos líderes na gestão da mudança em organizações públicas?"; "Conciliar novos valores com os já existentes, visando o benefício do cidadão."; "Manter a estrutura hierárquica tradicional."; "Evitar qualquer tipo de mudança."; "Priorizar os interesses individuais dos servidores."; "Conciliar novos valores com os já existentes, visando o benefício do cidadão."
"O que caracteriza o 'líder ponte'?"; "É um líder autoritário e centralizador."; "É um líder que impõe sua visão aos demais."; "É um líder que facilita a transição e a adaptação à mudança."; "É um líder que se concentra em tarefas operacionais."; "É um líder que facilita a transição e a adaptação à mudança."
"Quais são os desafios enfrentados pelas organizações em um contexto de mudanças?"; "Globalização, avanço tecnológico e escassez de recursos."; "Resistência à mudança, falta de qualificação profissional e desmotivação."; "Todas as alternativas anteriores."; "Nenhuma das alternativas anteriores."; "Todas as alternativas anteriores."
"O que é um 'novo paradigma' no contexto da mudança organizacional?"; "Um conjunto de regras e procedimentos."; "Uma estrutura hierárquica rígida."; "Uma nova visão de mundo que norteia a organização."; "Um sistema de controle e punição."; "Uma nova visão de mundo que norteia a organização."
"Quais são os tipos de mudança organizacional?"; "Tecnológica, administrativa, de produtos e de processos."; "Cultural, comportamental, estrutural e estratégica."; "Todas as alternativas anteriores."; "Nenhuma das alternativas anteriores."; "Todas as alternativas anteriores."
"O que caracteriza a 'cultura de devoção'?"; "Funcionários que se dedicam exclusivamente à vida pessoal."; "Funcionários que questionam constantemente a organização."; "Funcionários engajados que priorizam os objetivos da organização."; "Funcionários desmotivados e improdutivos."; "Funcionários engajados que priorizam os objetivos da organização."
"Quais são as consequências da mudança organizacional?"; "Desestabilização, resistência, medo e incerteza."; "Impacto nos processos de trabalho, necessidade de adaptação e novas competências."; "Todas as alternativas anteriores."; "Nenhuma das alternativas anteriores."; "Todas as alternativas anteriores."
"Quais são as etapas do processo de mudança organizacional?"; "Conscientização, apoio da liderança, disseminação da expertise, cultura de devoção, ancoragem da mudança e comunicação contínua."; "Planejamento, implementação, monitoramento, avaliação e ajustes."; "Diagnóstico, planejamento, implementação, controle e feedback."; "Todas as alternativas anteriores."; "Todas as alternativas anteriores."
"O que são 'rituais corporativos'?"; "Eventos informais sem importância para a cultura da organização."; "Eventos planejados que reforçam a cultura e os valores da organização."; "Reuniões para discutir problemas e conflitos."; "Atividades que visam apenas o lazer e a descontração."; "Eventos planejados que reforçam a cultura e os valores da organização."
"O que caracteriza a 'contracultura' em uma organização?"; "Um grupo de funcionários que compartilham os mesmos valores da organização."; "Um grupo de funcionários que se opõe aos valores e à mudança da organização."; "Um grupo de funcionários que se destaca pela alta performance."; "Um grupo de funcionários que se isola dos demais."; "Um grupo de funcionários que se opõe aos valores e à mudança da organização."
"Qual o principal desafio na gestão de pessoas em processos de fusão e aquisição?"; "Manter a estrutura organizacional existente."; "Integrar as culturas e os contratos psicológicos das organizações envolvidas."; "Reduzir o quadro de funcionários."; "Centralizar as decisões."; "Integrar as culturas e os contratos psicológicos das organizações envolvidas."
"O que são 'zonas de sombras' em uma organização?"; "Áreas físicas da empresa com pouca iluminação."; "Aspectos da cultura organizacional que são ocultos ou negligenciados."; "Departamentos da empresa com baixo desempenho."; "Funcionários que se escondem de suas responsabilidades."; "Aspectos da cultura organizacional que são ocultos ou negligenciados."
"O que é 'cultura adaptativa'?"; "Uma cultura que resiste a qualquer tipo de mudança."; "Uma cultura que se impõe ao ambiente externo."; "Uma cultura que se ajusta às demandas do ambiente interno e externo."; "Uma cultura que prioriza a tradição e os costumes."; "Uma cultura que se ajusta às demandas do ambiente interno e externo."
"Qual a importância do 'contrato psicológico' em um processo de mudança?"; "O contrato psicológico é irrelevante para a mudança."; "O contrato psicológico deve ser mantido inalterado."; "O contrato psicológico deve ser revisto e adaptado à nova realidade da organização."; "O contrato psicológico deve ser imposto pela organização."; "O contrato psicológico deve ser revisto e adaptado à nova realidade da organização."
"Como a comunicação interna pode contribuir para o sucesso da mudança?"; "Ignorando as dúvidas e resistências dos funcionários."; "Criando canais de diálogo e informando os funcionários sobre o processo de mudança."; "Impondo as decisões da liderança."; "Utilizando apenas meios de comunicação formais e impessoais."; "Criando canais de diálogo e informando os funcionários sobre o processo de mudança."
"Qual o papel dos gestores e líderes na superação dos desafios da mudança?"; "Manter uma postura passiva e distante."; "Resistir às mudanças e defender o status quo."; "Encarar os desafios, buscar soluções e inspirar a equipe."; "Delegar as responsabilidades para outros."; "Encarar os desafios, buscar soluções e inspirar a equipe."
