"pergunta";"alternativa1";"alternativa2";"alternativa3";"alternativa4";"correta"
"O que compreende o Patrimônio Público?";"Conjunto de bens e direitos, tangíveis ou intangíveis, adquiridos ou utilizados por empresas privadas";"Conjunto de bens e direitos, tangíveis ou intangíveis, onerados ou não, adquiridos, formados, produzidos, recebidos, mantidos ou utilizados pelas entidades do setor público";"Conjunto de bens de alto valor, como aeronaves e imóveis, pertencentes à Força Aérea Brasileira";"Conjunto de recursos financeiros administrados pelo governo federal";"Conjunto de bens e direitos, tangíveis ou intangíveis, onerados ou não, adquiridos, formados, produzidos, recebidos, mantidos ou utilizados pelas entidades do setor público"
"O que é considerado um Ativo, de acordo com o Manual de Contabilidade Aplicada ao Setor Público (MCASP)?";"Um recurso controlado pela entidade no presente, como resultado de evento passado, com potencial de serviços ou capacidade de gerar benefícios econômicos";"Um bem material de propriedade da Força Aérea Brasileira, utilizado em suas operações";"Um direito que a entidade possui sobre um bem ou serviço";"Uma obrigação que a entidade tem com terceiros";"Um recurso controlado pela entidade no presente, como resultado de evento passado, com potencial de serviços ou capacidade de gerar benefícios econômicos"
"Qual a definição de Passivo, segundo o MCASP?";"Uma obrigação presente da entidade, derivada de eventos passados, cuja liquidação se espera que resulte na saída de recursos capazes de gerar benefícios econômicos";"Um bem de propriedade da entidade, adquirido com recursos próprios";"Um recurso controlado pela entidade, com potencial de gerar benefícios econômicos futuros";"Um direito que a entidade possui sobre um bem ou serviço";"Uma obrigação presente da entidade, derivada de eventos passados, cuja liquidação se espera que resulte na saída de recursos capazes de gerar benefícios econômicos"
"O que representa o Patrimônio Líquido?";"A diferença entre o Ativo e o Passivo, após a inclusão de outros recursos e a dedução de outras obrigações";"O valor total dos bens imóveis de propriedade da Força Aérea Brasileira";"O valor total dos recursos financeiros disponíveis para a Força Aérea Brasileira";"O valor total das aeronaves em operação pela Força Aérea Brasileira";"A diferença entre o Ativo e o Passivo, após a inclusão de outros recursos e a dedução de outras obrigações"
"Como se denomina a redução do valor dos bens tangíveis pelo desgaste ou perda de utilidade por uso, ação da natureza ou obsolescência?";"Amortização";"Depreciação";"Exaustão";"Alienação";"Depreciação"
"Quais bens recebem tratamento de controle diferenciado, de acordo com sua previsão de durabilidade e valor, e constituem o patrimônio público?";"Bens de consumo";"Bens patrimoniais";"Bens imóveis";"Bens intangíveis";"Bens patrimoniais"
"De acordo com o RADA-e, quantos critérios são utilizados para definir um material como Bem Móvel de Consumo?";"Três";"Quatro";"Cinco";"Seis";"Cinco"
"Qual dos seguintes materiais NÃO é um exemplo de Bem Móvel de Consumo, de acordo com a página 57 da apostila?";"Álcool";"Gasolina";"Computador";"Lubrificante automotivo";"Computador"
"Segundo o MCASP, o que define um Material de Consumo?";"Aquele que, em razão de seu uso corrente e da definição da Lei nº 4.320/1964, perde normalmente sua identidade física e/ou tem sua durabilidade reduzida a menos de 2 (dois) anos";"Aquele que, em razão de seu uso corrente, não perde a identidade física e/ou tem uma durabilidade superior a dois anos";"Aquele que, mesmo em uso normal, não perde ou não tem reduzidas as suas condições de funcionamento, mas possui valor inferior a R$ 1.000,00 (mil reais)";"Aquele que foi adquirido para fim de transformação em um novo bem";"Aquele que, em razão de seu uso corrente e da definição da Lei nº 4.320/1964, perde normalmente sua identidade física e/ou tem sua durabilidade reduzida a menos de 2 (dois) anos"
"Onde os bens móveis de consumo, quando em estoque, devem ser escriturados?";"No Sistema Integrado de Administração Financeira do Governo Federal (SIAFI)";"No Sistema Integrado de Logística de Material e Serviços (SILOMS)";"Em ambos os sistemas, SIAFI e SILOMS";"Em nenhum dos sistemas, apenas em fichas de controle manuais";"Em ambos os sistemas, SIAFI e SILOMS"
