pergunta;alternativa1;alternativa2;alternativa3;alternativa4;correta
"Qual é o nome da Lei que estabelece normas de finanças públicas voltadas para a responsabilidade na gestão fiscal?";"Lei de Responsabilidade Fiscal - LRF";"Lei Orçamentária Anual - LOA";"Lei de Diretrizes Orçamentárias - LDO";"Plano Plurianual - PPA";"Lei de Responsabilidade Fiscal - LRF"
"Em que ano a Lei de Responsabilidade Fiscal (LRF) foi aprovada no Brasil?";"1998";"1999";"2000";"2001";"2000"
"Qual o principal objetivo da Lei de Responsabilidade Fiscal (LRF)?";"Aumentar os impostos para gerar mais receita para o governo";"Controlar os gastos públicos e garantir a saúde fiscal do governo";"Facilitar o acesso ao crédito para empresas privadas";"Reduzir a burocracia na administração pública";"Controlar os gastos públicos e garantir a saúde fiscal do governo"
"A LRF define a obrigatoriedade de fixar metas fiscais em qual instrumento orçamentário?";"Plano Plurianual - PPA";"Lei de Diretrizes Orçamentárias - LDO";"Lei Orçamentária Anual - LOA";"Relatório de Gestão Fiscal";"Lei de Diretrizes Orçamentárias - LDO"
"Quais as consequências para o governo em caso de descumprimento das metas fiscais definidas pela LRF?";"O governo pode sofrer sanções, como a proibição de realizar transferências voluntárias e a contratação de operações de crédito";"Não há consequências, pois as metas fiscais são apenas sugestões";"O governo pode aumentar os impostos para compensar o descumprimento das metas";"O governo pode remanejar recursos de outras áreas para cobrir o déficit";"O governo pode sofrer sanções, como a proibição de realizar transferências voluntárias e a contratação de operações de crédito"
"Qual é a principal fonte originária dos recursos públicos?";"Impostos, taxas e contribuições";"Emissão de moeda";"Empréstimos internacionais";"Doações de empresas privadas";"Impostos, taxas e contribuições"
"Além dos tributos, qual outra fonte de recurso público é mencionada na página 14?";"Receitas patrimoniais";"Royalties da exploração de petróleo";"Lucros de empresas estatais";"Todas as alternativas anteriores";"Todas as alternativas anteriores"
"Quem é o responsável, em cada ente da federação, por estimar e arrecadar os tributos de sua competência?";"Poder Legislativo";"Poder Executivo";"Poder Judiciário";"Ministério Público";"Poder Executivo"
"O que a Lei de Responsabilidade Fiscal (LRF) estabelece em relação à arrecadação de tributos?";"Que o governo deve priorizar a arrecadação de impostos sobre as demais fontes de receita";"Que o governo deve buscar o equilíbrio entre receitas e despesas, evitando o endividamento excessivo";"Que o governo deve utilizar os recursos arrecadados com tributos apenas em investimentos de infraestrutura";"Que o governo deve isentar as empresas de pequeno porte do pagamento de impostos";"Que o governo deve buscar o equilíbrio entre receitas e despesas, evitando o endividamento excessivo"
"Qual a importância da arrecadação de tributos para o funcionamento do Estado?";"Os tributos são a principal fonte de financiamento das políticas públicas, como saúde, educação e segurança";"Os tributos servem para pagar os salários dos servidores públicos e os juros da dívida pública";"Os tributos são utilizados para financiar as campanhas eleitorais dos políticos";"Os tributos são uma forma de o governo controlar a economia, incentivando ou desincentivando o consumo de determinados produtos";"Os tributos são a principal fonte de financiamento das políticas públicas, como saúde, educação e segurança"
"Para qual(is) instrumento(s) orçamentário(s), no âmbito da União, os projetos/propostas são encaminhados pelo Poder Executivo ao Congresso Nacional?";"Apenas para o PPA";"Apenas para a LDO";"Apenas para a LOA";"Para o PPA, LDO e LOA";"Para o PPA, LDO e LOA"
"No Brasil, quem elabora seus próprios orçamentos, estimando a arrecadação e as despesas?";"Apenas a União";"Apenas os estados e o DF";"Apenas os municípios";"A União, cada estado, o DF e cada município";"A União, cada estado, o DF e cada município"
"De qual Poder é a autoria de todas as leis orçamentárias?";"Poder Legislativo";"Poder Judiciário";"Poder Executivo";"Ministério Público";"Poder Executivo"
"Qual Poder analisa e vota os projetos do PPA, da LDO e da LOA?";"Poder Legislativo";"Poder Judiciário";"Poder Executivo";"Ministério Público";"Poder Legislativo"
"No âmbito da União, quem analisa e vota os projetos do PPA, da LDO e da LOA?";"Congresso Nacional";"Assembleia Legislativa";"Câmara Municipal";"Câmara dos Deputados";"Congresso Nacional"
"De quanto em quanto tempo é elaborada a proposta da Lei Orçamentária Anual (LOA)?";"A cada dois anos";"A cada quatro anos";"Anualmente";"A cada cinco anos";"Anualmente"
"Qual instrumento orçamentário define a meta fiscal que deve ser considerada na elaboração da proposta da LOA?";"Plano Plurianual - PPA";"Lei de Responsabilidade Fiscal - LRF";"Lei Orçamentária Anual - LOA";"Lei de Diretrizes Orçamentárias - LDO";"Lei de Diretrizes Orçamentárias - LDO"
"Qual o objetivo da meta fiscal fixada na LDO?";"Apurar o resultado primário para o exercício seguinte";"Definir o valor total do orçamento da União";"Definir o limite de endividamento do governo";"Estabelecer o valor mínimo de investimentos em educação e saúde";"Apurar o resultado primário para o exercício seguinte"
"Após o levantamento estimado das receitas e o desconto da meta fiscal, qual o próximo passo na elaboração da proposta da LOA?";"Definir os valores destinados a cada ministério e órgão público";"Identificar as despesas obrigatórias, prioritárias e discricionárias";"Realizar audiências públicas para ouvir as demandas da sociedade";"Encaminhar a proposta para aprovação do Congresso Nacional";"Identificar as despesas obrigatórias, prioritárias e discricionárias"
"Para onde os entes federais encaminham suas propostas orçamentárias, contendo as despesas obrigatórias, prioritárias e discricionárias, para o ano seguinte?";"Para o Ministério do Planejamento e Orçamento";"Para a Presidência da República";"Para o Congresso Nacional";"Para o Tribunal de Contas da União";"Para o Ministério do Planejamento e Orçamento"
