"pergunta";"alternativa1";"alternativa2";"alternativa3";"alternativa4";"correta"
"Qual a principal mudança na compreensão da motivação humana em relação à era industrial?";"A motivação é compreendida como algo extrínseco, ou seja, atingida apenas por meio de recompensas e punições.";"A motivação humana se tornou mais complexa e abstrata.";"A motivação passou a ser compreendida como algo intrínseco, ligado a propósito, excelência e autonomia.";"A era do conhecimento eliminou a necessidade de recompensas e punições no ambiente de trabalho.";"A motivação passou a ser compreendida como algo intrínseco, ligado a propósito, excelência e autonomia."
"O que a era do conhecimento valoriza para aperfeiçoar os processos?";"Tarefas repetitivas.";"Aumento da produção.";"Hierarquia rígida.";"Criatividade.";"Criatividade."
"As mudanças na sociedade contemporânea criaram uma realidade organizacional que valoriza qual aspecto para gerar inovação?";"A construção de equipes multidisciplinares.";"A liderança autocrática.";"A especialização em tarefas individuais.";"A competição entre os membros da equipe.";"A construção de equipes multidisciplinares."
"Qual o objetivo principal do Manual de Liderança da FAB apresentado?";"Apresentar as teorias de liderança mais antigas e tradicionais.";"Ensinar técnicas de manipulação para influenciar subordinados.";"Descrever as punições para diferentes tipos de desvios de conduta.";"Fornecer conceitos e ferramentas para o exercício da liderança nas organizações da FAB.";"Fornecer conceitos e ferramentas para o exercício da liderança nas organizações da FAB."
"Por que é importante estudar as teorias de liderança?";"Para identificar líderes natos com base em seus traços físicos.";"Para aplicar uma única teoria de liderança em todas as situações.";"Para entender as diferentes abordagens sobre o fenômeno da liderança.";"Para se tornar um líder autoritário e controlador.";"Para entender as diferentes abordagens sobre o fenômeno da liderança."
"Qual o principal foco das teorias de liderança que se concentram nos atributos ou comportamentos do líder?";"Contexto social e cultural.";"Fatores situacionais e contingenciais.";"Habilidades e estilos de liderança.";"Necessidades e expectativas dos liderados.";"Habilidades e estilos de liderança."
"A Teoria dos Traços, também conhecida como 'Teoria do Grande Homem', busca identificar quais elementos?";"As características físicas e de personalidade que influenciam a liderança.";"Os estilos de liderança mais eficazes em diferentes contextos.";"A influência do ambiente e da cultura organizacional na liderança.";"O nível de maturidade e as habilidades dos liderados.";"As características físicas e de personalidade que influenciam a liderança."
"Quais traços de personalidade são considerados centrais em diversas pesquisas sobre a Teoria dos Traços?";"Inteligência, autoconfiança, determinação, integridade e sociabilidade.";"Criatividade, flexibilidade, carisma, empatia e comunicação.";"Experiência, conhecimento técnico, habilidades de planejamento e organização.";"Visão estratégica, capacidade de delegação, resiliência e adaptabilidade.";"Inteligência, autoconfiança, determinação, integridade e sociabilidade."
"Qual a crítica principal direcionada à Teoria dos Traços?";"Ignora a importância dos liderados e do contexto situacional.";"Superestima a relevância dos traços de personalidade na liderança.";"Subestima a capacidade de desenvolvimento das habilidades de liderança.";"Negligencia a influência dos fatores culturais e sociais na liderança.";"Ignora a importância dos liderados e do contexto situacional."
"Em que aspecto a Teoria dos Estilos e a Teoria das Habilidades diferenciam-se da Teoria dos Traços?";"Consideram que as habilidades e os estilos de liderança podem ser aprendidos e desenvolvidos.";"Enfatizam a importância da adaptação do estilo de liderança às diferentes situações.";"Priorizam o estudo das relações interpessoais entre líderes e liderados.";"Concentram-se na influência do contexto social e cultural na liderança.";"Consideram que as habilidades e os estilos de liderança podem ser aprendidos e desenvolvidos."
"Qual a ênfase principal da Teoria dos Estilos e da Teoria das Habilidades?";"Traços de personalidade inatos dos líderes.";"A influência do contexto nas decisões dos líderes.";"Comportamento dos líderes e suas habilidades.";"Relação entre líderes e liderados em diferentes contextos.";"Comportamento dos líderes e suas habilidades."
"Em quantas categorias o comportamento do líder pode ser dividido, segundo a perspectiva da Teoria dos Estilos?";"Duas: orientação à tarefa e orientação aos relacionamentos.";"Três: autocrática, democrática e laissez-faire.";"Quatro: diretiva, colaborativa, visionária e participativa.";"Cinco: coercitiva, afiliativa, democrática, coaching e pacesetting.";"Duas: orientação à tarefa e orientação aos relacionamentos."
"De acordo com Blake e Mouton (1964), quais líderes seriam os mais eficazes?";"Aqueles com alta preocupação com a produção e alta preocupação com as pessoas.";"Aqueles que priorizam as tarefas e metas em detrimento dos relacionamentos interpessoais.";"Aqueles que se concentram nas necessidades dos liderados, negligenciando as metas da organização.";"Aqueles que adaptam seu estilo de liderança de acordo com a situação e a maturidade dos liderados.";"Aqueles com alta preocupação com a produção e alta preocupação com as pessoas."
"As evidências empíricas sustentam a proposição de Blake e Mouton (1964) sobre os líderes mais eficazes?";"Não, as evidências empíricas não sustentam essa proposição.";"Sim, diversos estudos comprovam a eficácia de líderes com alta preocupação com a produção e com as pessoas.";"Parcialmente, a proposição é válida apenas em contextos organizacionais específicos.";"A proposição é inconclusiva, pois faltam pesquisas que a comprovem ou refutem.";"Não, as evidências empíricas não sustentam essa proposição."
"Por que é importante estudar outras teorias de liderança além da Teoria dos Estilos e da Teoria das Habilidades?";"Para se concentrar apenas nos traços de personalidade dos líderes, ignorando outros fatores.";"Para aplicar um único estilo de liderança em todas as situações, independentemente do contexto.";"Para ter uma compreensão mais completa do fenômeno da liderança e suas diferentes abordagens.";"Para se tornar um líder carismático e inspirador, sem necessidade de desenvolver outras habilidades.";"Para ter uma compreensão mais completa do fenômeno da liderança e suas diferentes abordagens."
"Qual a principal premissa das teorias de liderança centradas no contexto?";"Os traços de personalidade do líder são determinantes para o sucesso da liderança.";"As habilidades de liderança são inatas e não podem ser desenvolvidas.";"Os fatores situacionais influenciam o estilo de liderança mais eficaz.";"O estilo de liderança ideal é o mesmo para todas as situações.";"Os fatores situacionais influenciam o estilo de liderança mais eficaz."
"O Modelo de Liderança Situacional sugere que o comportamento dos líderes depende de qual fator?";"Das características de personalidade dos liderados.";"Das recompensas e punições oferecidas pela organização.";"Do nível de maturidade dos liderados em relação à tarefa.";"Da cultura organizacional e dos valores da empresa.";"Do nível de maturidade dos liderados em relação à tarefa."
"Quais são os quatro estilos de liderança identificados por Hersey e Blanchard (1988) no Modelo de Liderança Situacional?";"Autocrático, democrático, laissez-faire e transformacional.";"Diretivo, persuasivo, colaborativo e delegativo.";"Coercitivo, afiliativo, democrático, coaching e pacesetting.";"Visionário, estratégico, operacional e tático.";"Diretivo, persuasivo, colaborativo e delegativo."
"No Modelo de Liderança Situacional, o conceito de maturidade refere-se a qual aspecto dos liderados?";"À idade e ao tempo de experiência profissional.";"Ao nível hierárquico e ao cargo ocupado na organização.";"À capacidade e à disposição para realizar determinada tarefa.";"Às habilidades de comunicação e relacionamento interpessoal.";"À capacidade e à disposição para realizar determinada tarefa."
"Qual a principal crítica ao Modelo de Liderança Situacional?";"A falta de evidências empíricas que comprovem sua eficácia em todos os quadrantes.";"A dificuldade em determinar o nível de maturidade dos liderados.";"A ênfase excessiva nos fatores situacionais, negligenciando as características dos líderes.";"A complexidade do modelo, tornando sua aplicação prática inviável.";"A falta de evidências empíricas que comprovem sua eficácia em todos os quadrantes."

