"pergunta";"alternativa1";"alternativa2";"alternativa3";"alternativa4";"correta"
"Qual a importância da atuação do liderado no processo de liderança? ";"A liderança é um processo unilateral, dependendo apenas da ação do líder.";"O liderado deve assumir uma postura passiva, aguardando as ordens do líder.";"A eficácia da liderança depende da interação entre líder e liderado.";"O liderado deve ter autonomia total para tomar decisões, independentemente do líder.";"A eficácia da liderança depende da interação entre líder e liderado."
"O que um líder deve observar em seus subordinados para exercer uma liderança mais completa e eficaz? ";"O nível de escolaridade e a experiência profissional de cada membro da equipe.";"As habilidades de comunicação e a capacidade de trabalhar sob pressão de cada indivíduo.";"O perfil e os atributos de cada liderado, buscando desenvolver seus subordinados individual e coletivamente.";"A capacidade de seguir ordens sem questionar e a obediência irrestrita à hierarquia.";"O perfil e os atributos de cada liderado, buscando desenvolver seus subordinados individual e coletivamente."
"Quais fatores são essenciais para que a liderança tenha o significado esperado? ";"Que o líder seja carismático e inspire seus subordinados a alcançar seus objetivos.";"Que o liderado reconheça a autoridade do líder e se submeta à sua vontade.";"Que o líder e o liderado interajam no nível esperado, com o liderado compreendendo a influência das ações do líder.";"Que haja uma clara divisão de tarefas e responsabilidades, com o líder no comando e o liderado executando as ordens.";"Que o líder e o liderado interajam no nível esperado, com o liderado compreendendo a influência das ações do líder."
"O que pode acontecer se o liderado não acatar ou receber a liderança? ";"O líder terá que usar de sua autoridade para impor sua vontade e garantir o cumprimento das tarefas.";"O liderado será punido por insubordinação, prejudicando sua carreira na instituição.";"A liderança poderá ser ineficaz, pois o liderado não estará disposto a receber a influência do líder.";"O grupo se fortalecerá, pois a ausência de um líder centralizador incentiva a autonomia e a criatividade.";"A liderança poderá ser ineficaz, pois o liderado não estará disposto a receber a influência do líder."
"O que um líder pode fazer quando o liderado demonstra resistência ou falta de aceitação em relação às suas ações de influência? ";"Ignorar a resistência do liderado e seguir em frente com suas ações, impondo sua autoridade.";"Punir o liderado por sua falta de colaboração, demonstrando as consequências da desobediência.";"Tentar persuadir o liderado, explicando os benefícios de seguir suas orientações.";"Identificar os motivos da resistência e adaptar suas ações, buscando que a influência ocorra de forma mais eficaz.";"Identificar os motivos da resistência e adaptar suas ações, buscando que a influência ocorra de forma mais eficaz."
"Por que um modelo de liderança que considera apenas o nível de maturidade do liderado é considerado limitado? ";"Pois desconsidera a capacidade de adaptação do líder a diferentes situações.";"Pois ignora a importância do contexto e da cultura organizacional para o processo de liderança.";"Pois não leva em conta a iniciativa, o pensamento crítico e a capacidade de ação do liderado, que podem variar.";"Pois subestima a importância da experiência e do conhecimento técnico do liderado para o sucesso da equipe.";"Pois não leva em conta a iniciativa, o pensamento crítico e a capacidade de ação do liderado, que podem variar."
"Quais dimensões Kelley (1992) utiliza para classificar os liderados em seu modelo? ";"Nível de conhecimento técnico e capacidade de aprendizagem.";"Nível de entusiasmo e grau de conformidade com as normas.";"Nível de iniciativa e nível de pensamento crítico.";"Tempo de experiência na função e capacidade de liderança informal.";"Nível de iniciativa e nível de pensamento crítico."
"Como é classificado o liderado com baixa iniciativa e baixa capacidade de pensamento crítico, no modelo de Kelley? ";"Alienado.";"Passivo.";"Conformista.";"Pragmático.";"Passivo."
"Qual a principal característica do liderado 'Conformista', de acordo com Kelley? ";"Possui alta capacidade de pensamento crítico, mas prefere seguir as ordens do líder.";"Busca evitar conflitos e assume uma postura subserviente, concordando com a maioria.";"Demonstra iniciativa e criatividade na solução de problemas, buscando sempre inovar.";"Questiona as ordens do líder e propõe soluções alternativas, mesmo que impopulares.";"Busca evitar conflitos e assume uma postura subserviente, concordando com a maioria."
"Como o líder pode auxiliar um liderado 'Pragmático' a se desenvolver e sair da zona de conforto? ";"Incentivando-o a assumir responsabilidades maiores, como a função de supervisor ou gerente dentro do grupo.";"Atribuindo-lhe tarefas repetitivas e de baixo risco, para que ele se sinta seguro e confiante em sua capacidade.";"Elogiando seu desempenho e reconhecendo suas habilidades, mesmo que ele não se destaque na equipe.";"Oferecendo-lhe oportunidades de treinamento e desenvolvimento, focando em suas habilidades técnicas.";"Incentivando-o a assumir responsabilidades maiores, como a função de supervisor ou gerente dentro do grupo."
"O que diferencia um liderado 'Exemplar'? ";"Sua obediência irrestrita às ordens do líder, sem questionamentos ou sugestões.";"Sua capacidade de realizar suas tarefas de forma eficiente e dentro do prazo, sem chamar atenção.";"Seu alto nível de pensamento crítico e iniciativa, atuando em prol do grupo e da instituição.";"Sua habilidade de evitar conflitos e manter um bom relacionamento com todos os membros da equipe.";"Seu alto nível de pensamento crítico e iniciativa, atuando em prol do grupo e da instituição."
"De que forma o líder pode auxiliar seus subordinados a desenvolverem as características de um liderado 'Exemplar'? ";"Criando um ambiente competitivo, em que os liderados disputam entre si para se destacarem.";"Estabelecendo metas e objetivos individuais desafiadores, incentivando a busca por resultados pessoais.";"Compartilhando a missão e os valores da instituição, incentivando o crescimento individual e coletivo.";"Centralizando as decisões e controlando as ações da equipe, garantindo que as tarefas sejam cumpridas.";"Compartilhando a missão e os valores da instituição, incentivando o crescimento individual e coletivo."
"Quais características um líder deve buscar desenvolver em um liderado 'Alienado'? ";"Obediência e disciplina, para que ele siga as ordens sem questionar.";"Capacidade de trabalhar em equipe e senso de pertencimento à instituição.";"Habilidades técnicas e conhecimento específico sobre a área de atuação.";"Comunicação assertiva e capacidade de lidar com conflitos interpessoais.";"Capacidade de trabalhar em equipe e senso de pertencimento à instituição."
"Como o líder pode estimular um liderado 'Conformista' a desenvolver seu senso crítico e sua capacidade de inovar? ";"Criando um ambiente seguro para que ele possa expor suas ideias, mesmo que incompletas ou ineficazes.";"Delegando a ele tarefas desafiadoras e de alto risco, forçando-o a sair da zona de conforto e pensar de forma diferente.";"Atribuindo a ele a função de líder em projetos de grande importância, incentivando sua autoconfiança e autonomia.";"Oferecendo a ele oportunidades de treinamento e desenvolvimento, focando em suas habilidades de comunicação e persuasão.";"Criando um ambiente seguro para que ele possa expor suas ideias, mesmo que incompletas ou ineficazes."
"Qual a importância do liderado ter a capacidade de apresentar opiniões contrárias às do líder? ";"Para criar um ambiente de debate e confronto, questionando a autoridade do líder e incentivando a desordem.";"Para demonstrar sua independência e autonomia, mesmo que isso gere conflitos e prejudique o trabalho da equipe.";"Para contribuir com diferentes perspectivas e soluções, enriquecendo a tomada de decisão e o desenvolvimento da equipe.";"Para evitar que o líder tome decisões erradas, assumindo o papel de 'fiscal' das ações do líder e do grupo.";"Para contribuir com diferentes perspectivas e soluções, enriquecendo a tomada de decisão e o desenvolvimento da equipe."
"De que forma um liderado pode demonstrar iniciativa, sem ser insubordinado? ";"Tomando decisões importantes sem consultar o líder, demonstrando sua capacidade de agir de forma independente.";"Questionando as ordens do líder e propondo soluções alternativas, mesmo que isso gere conflitos e atrasos.";"Antecipando-se às demandas da equipe e do líder, buscando soluções para os problemas antes mesmo que eles surjam.";"Assumindo responsabilidades além de suas atribuições, realizando tarefas que não lhe foram delegadas.";"Antecipando-se às demandas da equipe e do líder, buscando soluções para os problemas antes mesmo que eles surjam."
