"pergunta";"alternativa1";"alternativa2";"alternativa3";"alternativa4";"correta"
"O que diferencia uma inovação de uma invenção?";"A invenção tem aplicação prática imediata, enquanto a inovação requer um longo processo de desenvolvimento.";"A invenção é a criação de algo novo, enquanto a inovação é a aplicação prática dessa invenção.";"A invenção é protegida por patentes, enquanto a inovação não.";"A invenção é sempre tecnológica, enquanto a inovação pode ser social ou organizacional.";"A invenção é a criação de algo novo, enquanto a inovação é a aplicação prática dessa invenção."
"Qual a importância do Manual de Oslo para o estudo da inovação?";"Estabelece conceitos e métricas para a análise e comparação internacional de processos de inovação.";"É um guia para a proteção de patentes e direitos autorais.";"Define as políticas públicas de incentivo à inovação em países em desenvolvimento.";"É um manual técnico para a implementação de novas tecnologias nas empresas.";"Estabelece conceitos e métricas para a análise e comparação internacional de processos de inovação."
"Quais os tipos de inovação abordados no Manual de Oslo?";"Inovação de produto, de processo, organizacional e de marketing.";"Inovação de produto, de processo e organizacional.";"Inovação tecnológica, social e ambiental.";"Inovação incremental, radical e disruptiva.";"Inovação de produto, de processo e organizacional."
"Como se caracteriza uma inovação de produto?";"Melhoria significativa no processo de produção de um produto existente.";"Redução de custos na produção de um produto existente.";"Introdução de um produto novo ou significativamente melhorado em relação a seus atributos.";"Aumento da escala de produção de um produto existente.";"Introdução de um produto novo ou significativamente melhorado em relação a seus atributos."
"Como se caracteriza uma inovação de processo?";"Introdução de um novo produto no mercado.";"Implementação de um novo método de produção ou entrega significativamente melhorado.";"Mudança na estrutura organizacional da empresa.";"Investimento em marketing e publicidade.";"Implementação de um novo método de produção ou entrega significativamente melhorado."
"O que é a difusão tecnológica?";"O processo pelo qual uma inovação se espalha no mercado ao longo do tempo.";"A criação de novas tecnologias em centros de pesquisa e desenvolvimento.";"A proteção legal da propriedade intelectual.";"O investimento em marketing para promover uma nova tecnologia.";"O processo pelo qual uma inovação se espalha no mercado ao longo do tempo."
"Qual a relação entre a difusão tecnológica e o processo de inovação?";"A difusão tecnológica pode retroalimentar o processo de inovação, indicando necessidades e oportunidades de melhoria.";"A difusão tecnológica impede o surgimento de novas inovações.";"A difusão tecnológica é um processo independente da inovação.";"A difusão tecnológica só ocorre após o esgotamento do ciclo de vida de uma inovação.";"A difusão tecnológica pode retroalimentar o processo de inovação, indicando necessidades e oportunidades de melhoria."
"Quais as principais categorias de inovação segundo seus impactos, de acordo com Freeman?";"Inovações incrementais, radicais, novo sistema tecnológico e mudança de paradigma tecnológico.";"Inovações de produto, de processo, organizacional e de marketing.";"Inovações tecnológicas, sociais, ambientais e econômicas.";"Inovações de ruptura, de sustentação, de plataforma e de nicho.";"Inovações incrementais, radicais, novo sistema tecnológico e mudança de paradigma tecnológico."
"O que caracteriza uma inovação incremental?";"Melhorias e aperfeiçoamentos contínuos em produtos e processos existentes.";"Ruptura com as tecnologias existentes e criação de uma nova trajetória tecnológica.";"Mudanças tecnológicas que impactam diversos setores da economia.";"Transformações profundas na estrutura e funcionamento da sociedade.";"Melhorias e aperfeiçoamentos contínuos em produtos e processos existentes."
"O que caracteriza uma inovação radical?";"Introdução de um produto, processo ou serviço totalmente novo que rompe com os padrões existentes.";"Pequenas melhorias em produtos e processos existentes.";"Mudanças na organização do trabalho e na gestão da empresa.";"Investimento em marketing e publicidade para promover um produto existente.";"Introdução de um produto, processo ou serviço totalmente novo que rompe com os padrões existentes."
