pergunta;alternativa1;alternativa2;alternativa3;alternativa4;correta
"Qual é o principal objetivo do orçamento público?";"Controlar as receitas e despesas do governo de forma transparente e eficiente";"Gerenciar apenas as receitas do governo, sem se preocupar com as despesas";"Controlar as despesas do governo sem se preocupar com a origem das receitas";"Nenhuma das alternativas anteriores";"Controlar as receitas e despesas do governo de forma transparente e eficiente"
"Qual a importância do planejamento orçamentário para o governo?";"Priorizar as ações governamentais e garantir a aplicação eficiente dos recursos públicos";"Definir metas de gastos sem levar em consideração a arrecadação prevista";"Controlar as despesas públicas sem se preocupar com o impacto na sociedade";"Nenhuma das alternativas anteriores";"Priorizar as ações governamentais e garantir a aplicação eficiente dos recursos públicos"
"Quais são os três principais instrumentos utilizados no processo de elaboração do Orçamento Público?";"Plano Plurianual (PPA), Lei de Diretrizes Orçamentárias (LDO) e Lei Orçamentária Anual (LOA)";"Lei de Responsabilidade Fiscal (LRF), Lei de Diretrizes Orçamentárias (LDO) e Lei Orçamentária Anual (LOA)";"Plano Plurianual (PPA), Lei de Responsabilidade Fiscal (LRF) e Lei Orçamentária Anual (LOA)";"Nenhuma das alternativas anteriores";"Plano Plurianual (PPA), Lei de Diretrizes Orçamentárias (LDO) e Lei Orçamentária Anual (LOA)"
"Qual é a principal fonte de recursos públicos?";"Tributos cobrados da sociedade, como impostos, taxas e contribuições";"Doações de empresas privadas e organizações não governamentais";"Empréstimos internacionais com baixas taxas de juros";"Venda de bens públicos como terrenos e imóveis";"Tributos cobrados da sociedade, como impostos, taxas e contribuições"
"Qual a função da Lei de Responsabilidade Fiscal (LRF) no contexto do orçamento público?";"Estabelecer normas e limites para os gastos públicos, visando à responsabilidade fiscal e o equilíbrio das contas públicas";"Definir as metas e prioridades do governo para o ano seguinte";"Autorizar o governo a gastar mais do que arrecada em situações de crise econômica";"Nenhuma das alternativas anteriores";"Estabelecer normas e limites para os gastos públicos, visando à responsabilidade fiscal e o equilíbrio das contas públicas"
"Qual é o principal objetivo do Plano Plurianual (PPA)?";"Definir as metas e prioridades do governo para o ano seguinte";"Estabelecer normas e limites para os gastos públicos, visando à responsabilidade fiscal";"Definir as diretrizes, objetivos e metas da administração pública federal para as despesas de capital e outras delas decorrentes, e para as relativas aos programas de duração continuada";"Controlar as receitas e despesas do governo de forma transparente";"Definir as diretrizes, objetivos e metas da administração pública federal para as despesas de capital e outras delas decorrentes, e para as relativas aos programas de duração continuada"
"Qual a duração do Plano Plurianual (PPA)?";"1 ano";"2 anos";"3 anos";"4 anos";"4 anos"
"Qual Poder é responsável pela elaboração da proposta do PPA?";"Poder Legislativo";"Poder Judiciário";"Poder Executivo";"Ministério Público";"Poder Executivo"
"Em qual período do mandato do Poder Executivo o PPA entra em vigor?";"No primeiro ano de mandato";"No segundo ano de mandato";"No terceiro ano de mandato";"No quarto ano de mandato";"No segundo ano de mandato"
"Até quando o Poder Executivo deve encaminhar a proposta do PPA para aprovação?";"2 meses antes do encerramento do primeiro exercício financeiro";"3 meses antes do encerramento do primeiro exercício financeiro";"4 meses antes do encerramento do primeiro exercício financeiro";"6 meses antes do encerramento do primeiro exercício financeiro";"4 meses antes do encerramento do primeiro exercício financeiro"
"Qual a função da Lei de Diretrizes Orçamentárias (LDO)?";"Definir as metas e prioridades do orçamento para o ano seguinte, incluindo limites de despesa entre os Poderes, regras para economizar recursos e obrigações de transparência";"Autorizar o governo a gastar mais do que arrecada em situações de crise econômica";"Criar novas fontes de receita para o governo, como a venda de bens públicos";"Definir a remuneração dos servidores públicos federais";"Definir as metas e prioridades do orçamento para o ano seguinte, incluindo limites de despesa entre os Poderes, regras para economizar recursos e obrigações de transparência"
"Qual a relação entre a LDO e a Lei Orçamentária Anual (LOA)?";"A LDO define as metas e prioridades que devem ser consideradas na elaboração e execução da LOA";"A LDO e a LOA são documentos independentes, sem relação entre si";"A LOA define as metas e prioridades que devem ser consideradas na elaboração da LDO";"A LDO revoga a LOA do ano anterior";"A LDO define as metas e prioridades que devem ser consideradas na elaboração e execução da LOA"
"Quem é responsável por elaborar e enviar a proposta da LDO ao Congresso Nacional?";"Poder Judiciário";"Poder Legislativo";"Poder Executivo";"Ministério Público";"Poder Executivo"
"Qual o prazo para o Congresso Nacional votar a LDO?";"Até o dia 31 de dezembro de cada ano";"Até o dia 30 de junho de cada ano";"Até o encerramento do primeiro período da sessão legislativa (17 de julho)";"Até o dia 31 de agosto de cada ano";"Até o encerramento do primeiro período da sessão legislativa (17 de julho)"
"Onde a sociedade pode consultar informações sobre a execução do orçamento público e a LDO?";"No Diário Oficial da União";"No site do Banco Central do Brasil";"No Portal da Transparência do Governo Federal";"Na página do Ministério da Economia";"No Portal da Transparência do Governo Federal"
"O que a Lei Orçamentária Anual (LOA) define?";"As receitas e despesas do governo para o ano seguinte";"Os projetos e programas do governo para os próximos quatro anos";"As regras para a realização de licitações e contratos públicos";"As diretrizes para a política externa brasileira";"As receitas e despesas do governo para o ano seguinte"
"Qual o prazo para o Poder Executivo enviar o Projeto de Lei Orçamentária Anual (PLOA) ao Congresso Nacional?";"Até 4 meses antes do encerramento do exercício financeiro (31 de agosto de cada ano)";"Até 2 meses antes do encerramento do exercício financeiro (30 de outubro de cada ano)";"Até o dia 31 de dezembro de cada ano";"Até o dia 30 de junho de cada ano";"Até 4 meses antes do encerramento do exercício financeiro (31 de agosto de cada ano)"
"Quem é responsável por analisar e votar a LOA?";"O Presidente da República";"O Supremo Tribunal Federal";"O Congresso Nacional";"O Conselho Nacional de Justiça";"O Congresso Nacional"
